[2024-06-03 15:04:05] EDIT crm/views/default/personal.html: 0
[2024-06-03 15:06:03] EDIT crm/views/default/personal.html: 4
[2024-06-03 15:06:23] EDIT crm/views/default/personal.html: 0
[2024-06-03 15:07:04] EDIT crm/views/default/personal.html: 0
[2024-06-03 15:07:22] EDIT crm/views/default/personal.html: 0
[2024-06-03 15:07:45] EDIT crm/views/default/personal.html: -1
[2024-06-03 15:08:56] EDIT crm/views/default/personal.html: 0
[2024-06-03 15:10:29] EDIT crm/views/default/personal.html: 3
[2024-06-03 15:12:40] EDIT crm/views/default/personal.html: 3
[2024-06-03 15:13:59] EDIT crm/views/default/personal.html: 3
[2024-06-03 16:08:46] EDIT crm/controllers/default.py: 0
[2024-06-03 16:09:17] EDIT crm/controllers/default.py: 0
[2024-06-03 16:27:20] EDIT crm/controllers/default.py: 5
[2024-06-03 16:27:23] EDIT crm/views/default/personal.html: 7
[2024-06-03 16:28:34] EDIT crm/views/default/personal.html: 0
[2024-06-03 16:29:23] EDIT crm/controllers/default.py: 0
[2024-06-03 16:30:46] EDIT crm/views/default/personal.html: 0
[2024-06-03 16:31:07] EDIT crm/controllers/default.py: 0
[2024-06-03 16:35:08] EDIT crm/controllers/default.py: 0
[2024-06-03 16:35:47] EDIT crm/controllers/default.py: 0
[2024-06-03 16:39:42] EDIT crm/views/default/personal.html: 0
[2024-06-03 16:42:34] EDIT crm/views/default/personal.html: -4
[2024-06-03 16:42:51] EDIT crm/controllers/default.py: 0
[2024-06-03 16:42:56] EDIT crm/views/default/personal.html: 0
[2024-06-03 16:44:09] EDIT crm/controllers/default.py: 0
[2024-06-03 16:44:50] EDIT crm/views/default/personal.html: 0
[2024-06-03 16:47:50] EDIT crm/views/default/personal.html: 0
[2024-06-03 16:52:58] EDIT crm/views/default/personal.html: 2
[2024-06-03 16:53:45] EDIT crm/views/default/personal.html: 1
[2024-06-03 16:56:15] EDIT crm/views/default/personal.html: -6
[2024-06-03 16:58:34] EDIT crm/views/default/personal.html: 5
[2024-06-03 17:11:58] EDIT crm/controllers/default.py: 0
[2024-06-03 17:14:13] EDIT crm/views/default/personal.html: 1
[2024-06-03 17:14:49] EDIT crm/views/default/personal.html: 1
[2024-06-03 17:18:13] EDIT crm/views/default/personal.html: 0
[2024-06-03 17:20:26] EDIT crm/views/default/personal.html: 0
[2024-06-03 17:20:50] EDIT crm/views/default/personal.html: -5
[2024-06-03 17:23:30] EDIT crm/views/default/personal.html: 18
[2024-06-03 18:51:48] EDIT crm/views/default/personal.html: 1
[2024-06-03 19:19:56] EDIT crm/views/default/personal.html: -80
[2024-06-03 19:31:48] EDIT crm/views/default/personal.html: 0
[2024-06-03 19:32:55] EDIT crm/views/default/personal.html: 0
[2024-06-03 19:33:00] EDIT crm/views/default/personal.html: 0
[2024-06-03 19:33:56] EDIT crm/views/default/personal.html: 0
[2024-06-03 19:36:45] EDIT crm/views/default/personal.html: -15
